entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,mano_obra,destacada,expediente_numero,financiamiento
Villa Oli­mpica,Villa Oli­mpica: Viviendas VII,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 7 contemplo la construccion de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,"$ 123.691.183,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",25/2/2016,31/10/2017,20,100,Cunumi S.A,2015,Licitacion Publica,449/2015,30615748036,0,NO,7.482.410-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas VIII,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 8 contemplo la construccion de 4 edificios que fueron destinados a los Juegos Oli­mpicos. Se construyeron aproximadamente 12.900m2 que fueron destinados a y 410m2 que fueron destinados a locales comerciales.,"$ 174.609.630,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,15/11/2017,21,100,Constructora Sudamericana S.A.,2015,Licitacion Publica,528/2015,30610895456,0,NO,7.483.365-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas X,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,"La licitacion Nº 10 completo el grupo de licitaciones de viviendas para los Juegos Oli­mpicos que dieron respuesta habitacional, contemplando 2 edificios destinados a los Juegos Olimpicos. Ademas, se construyeron aproximadamente 7.000m2 que fueron destinados a vivienda y 130m2 que fueron destinados a locales comerciales.","$ 98.174.265,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",28/4/2016,31/12/2017,20,100,Vidogar Construcciones S.A,2015,Licitacion Publica,573/2015,30553433564,0,NO,12.808.238-MGEYA-DGPUYA-2015,Desconocido
Villa Oli­mpica,Villa Oli­mpica: Viviendas I,Finalizada,Vivienda,Secretari­a de Transporte y Obras Publicas,La licitacion Nº 1 contemplo la construccion de 3 edificios de uso mixto. Se destinaron aproximadamente 12.400m2 que fueron destinados a vivienda y 160m2 que fueron destinados a locales comerciales.,"$ 154.853.715,00",8,villa lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",1/6/2015,20/12/2017,30,100,Cavcon S.A.,2015,Licitacion Publica,1876/2014,33707292259,0,NO,15282589-DGPUYA/2D14,Desconocido
Villa Oli­mpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios Villa Oli­mpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,"La Obra Consiste En La Provision Y Colocacion De Equipamiento En Las Cocinas, SUM, Espacios De Parrilla, Lavaderos Y Locales De Los 29 Edificios De Villa Oli­mpica","$ 58.565.032,00",8,villa lugano,ESCALADA AV. 4200,7/8/2018,4/5/2019,9,100,CALELLO HERMANOS SA,2018,Licitacion Publica,04-CBAS-2018,30500716858,0,NO,0,Desconocido
Parque Oli­mpico,"Parque Oli­mpico: Demolicion total, extraccion y trasplante de arboles, cerco perimetral",Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,"Se procedio a la contruccion de un cerco oli­mpico perimetral que ayudo a delimitar el area de intervencion, resguardando la ejecucion de los trabajos y a su vez funcionando como cerco definitivo una vez terminada las obras. Ademas, incluyo tambien las tareas de demolicion de los edificios y equipamientos obsoletos existentes, la extraccion y trasplante de los arboles y arbustos dentro del mismo predio.","$ 48.590.604,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,28/12/2016,30/3/2017,3,100,Salvatori S.A Parques Y Jardines,2016,Licitacion Publica,880-SIGAF/16,30512700124,0,SI,20515970-DGIURB-2016,Desconocido
Parque Oli­mpico,"Parque Oli­mpico: Instalacion de red de agua potable, incendio cloacal, pluvial y red de gas.",Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"Se realizaron obras de infraestructura de las nuevas redes internas de agua potable, desagi¼es cloacales, desagi¼es pluviales y red de gas para los pabellones y equipamientos deportivos del Parque Oli­mpico.","$ 42.340.809,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,30/1/2017,16/4/2018,15,100,Tecma S.A.,2016,Licitacion Publica,1032-SIGAF/16,30623866528,0,NO,20.669.375-DGIURB-2016,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Pabellones A1 Y A2.,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,Se realizaron obras de los pabellones para albergar los diferentes equipamientos deportivos.,"$ 194.988.604,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,15/2/2017,31/12/2017,10,100,Constructora Sudamericana S.A.,2016,Licitacion Publica,1192-SIGAF/16,30610895456,0,NO,2016-24004377-MGEYA-DGIURB,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Pabellones A3 Y A4.,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Oli­mpicos.,"$ 168.646.366,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,15/2/2017,12/1/2018,11,100,Criba S.A.,2016,Licitacion Publica,1191-SIGAF/16,30505454436,0,NO,EX-2016-24004750-MGEYA-DGIURB,Desconocido
Parque Oli­mpico,"Parque Oli­mpico: Espacio publico, equipamiento deportivo exterior",Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,"Se contemplo la reacondicion y modernizacion del espacio publico y equipamiento deportivo exterior. Las areas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Ademas, se puso en valor el portico de acceso al parque oli­mpico, la construccion de una cabina de control con su sector de servicios y la rehabilitacion de la torre tanque acondicionada e incluida al sistema de proteccion contra incendios.","$ 349.706.395,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,7/6/2017,30/10/2018,16,100,Conorvial S.A,2017,Licitacion Publica,266/2017,33504596309,0,NO,27359314-DGIURB-2016,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Pabellon C.,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,"Se realizaron obras en el Pabellon C que consistieron en la ejecucion del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realizacion de las competencias, sala de cronometraje, sanitarios, salas de musculacion y preparacion de deportistas, salas de maquinas y gradas para espectadores.","$ 508.091.151,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,25/4/2017,30/6/2018,14,100,Niro Construcciones S.A.,2017,Licitacion Publica,36/ 2017,33588171979,0,NO,EX-2016- 25.688.941i¢ÂÂMGEYA-DGIURB,Desconocido
Villa Oli­mpica,Villa Olimpica: Ejecucion Baños En Locales Comerciales En Edificios Villa Oli­mpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Ejecucion De Seis Nucleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Oli­mpica ,"$ 1.686.743,00",8,villa lugano,ESCALADA AV. 4200,19/11/2018,19/1/2019,2,100,Bosquimano S.A,2018,Contratacion Directa,54-CBAS-2018,30711470022,0,NO,0,Desconocido
Villa Oli­mpica,Villa Olimpica: Readecuacion  Locales Planta Baja Edificios UG7 Villa Oli­mpica,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,La Obra Consiste En La Readecuacion De Locales De Planta Baja En Edifio UG7 De Villa Oli­mpica ,"$ 3.118.410,00",8,villa lugano,ESCALADA AV. 4200,5/2/2019,6/4/2019,1,100,CM CONSTRUCCIONES SA,2019,Contratacion Directa,57-CBAS-2018,30714322660,0,NO,0,Desconocido
Villa Oli­mpica,Villa Olimpica: Provision Y Colocacion De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Oli­mpica,Finalizada,Vivienda,Corporacion Buenos Aires Sur,La Obra Consiste En La Provision y Colocacion de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Oli­mpica,6595600,8,villa lugano,ESCALADA AV. 4200,2/1/2019,11/2/2019,"1,33",100,MIAVASA SA,2019,Licitacion Privada,01-CBAS-2018,30677303863,0,NO,0,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Pabellon B.,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,"La obra consistio en la construccion del Pabellon C que albergo a la competencia de gimnasia arti­stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logi­stica, enfermeri­a y doping.","$ 283.389.377,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,5/8/2017,30/6/2018,10,100,Criba S.A.,2017,Licitacion Publica,35 /17,30505454436,0,NO,24.005.383-DGIURB-2016,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Infraestructura electrica.,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"La licitacion contemplo el reacondicionamiento y modernizacion de las instalaciones existentes en el Parque Oli­mpico y la ejecucion de la nueva red para la distribucion de energi­a de los pabellones y edificios administrativos. La obra incluyo una sub estacion de entrada de energi­a, grupo electrogeno de emergencia, transformadores elevadores de tension e instalaciones de alimentacion en los edificios.","$ 54.936.733,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,13/2/2017,30/5/2018,15,100,Urban Baires S.A.,2016,Licitacion Publica,1035-SIGAF/16,30711290075,0,NO,EX-2016- 20669799-DGIURB,Desconocido
Villa Oli­mpica,"Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M",Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Nivelacion De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Oli­mpica,"$ 13.671.988,00",8,villa lugano,ESCALADA AV. 4200,6/8/2018,4/11/2018,3,100,MIAVASA SA,2018,Contratacion Directa,45-CBAS-2018,30677303863,0,NO,0,Desconocido
Villa Oli­mpica,Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9; UG2:P1-P3-P5-P7; UG3:P1-P2-P3-P5-P8; UG4:P1-P2-P3-P6-P7-P8; UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10; UG7: P3-P4,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Oli­mpica.","$ 150.333.723,00",8,villa lugano,ESCALADA AV. 4200,30/11/2018,29/5/2019,6,100,CM CONSTRUCCIONES SA,2018,Contratacion Directa,41-CBAS-2018,30714322660,0,NO,0,Desconocido
Paseo Del Bajo,Paseo Del Bajo: Tramo A - Viaductos,Finalizada,Transporte,Secretari­a de Transporte y Obras Publicas,"La realizacion de esta obra significo una organizacion vial que mejoro sustancialmente la circulacion de mas de 25.000 vehi­culos, entre ellos casi 10.000 camiones, acortando tiempos de viaje, reduciendo la contaminacion visual sonora y del aire y aumentando la seguridad vehicular y de peatones. Esta obra tiene mas de 6 kilometros de extension que conecta el sur con el norte de la Ciudad. Se encuentra ubicada entre las calles Alicia Moreau de Justo y Madero-Huergo, y luego en la zona de Retiro circulando por Av. Ramos Meji­a, Antartida Argentina y Castillo. Al costado de la trinchera para vehi­culos pesados<sobre las avenidas Alicia Moreau de Justo y Madero-Huergo, se ubican los carriles para transito liviano. Hay cuatro carriles con sentido norte y cuatro al sur (dos con velocidad maxima de 60 y dos de 40 kilometros por hora), separados por un boulevard de uso exclusivo para autos y colectivos de corta distancia. El i¢ÂÂPaseo del Bajo"" contemplo ademas la creacion de nuevos espacios verdes que aportaron en metros cuadrados lo equivalente a casi dos i¢ÂÂiÂ´Parque Lezamai¢ÂÂ y que estan ubicados a los costados de los carriles para vehi­culos livianos y sobre la trinchera para camiones por un total de mas de 60.000 metros cuadrados. Ademas, se crearon nuevas ciclovi­as para facilitar el acceso y fomentar la recreacion y la movilidad sustentable en la zona.","$ 1.547.000.000,00",1,puerto madero,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",2/1/2017,30/8/2019,31,100,CORSAN CORVIAM CONSTRUCCION SA,2016,Licitacion Publica,2016-01-0007-00,30710216386,0,SI,0,Desconocido
Paseo Del Bajo,Paseo Del Bajo: Tramo B - Trinchera Semicubierta Sur,Finalizada,Transporte,Secretari­a de Transporte y Obras Publicas,"El tramo B del proyecto contemplo el recorrido desde el viaducto sur que conecta con las autopistas 25 de Mayo y Buenos Aires-La Plata hasta el comienzo del tramo C en cercani­as al parque central. Se desarrollo en trinchera semi cubierta, con tramos peatonales y calles vehiculares pasantes.","$ 1.640.500.000,00",1,puerto madero,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",2/1/2017,30/4/2019,27,100,Green Seosa Pbt Ute,2016,Licitacion Publica,2016-01-0008-00,30715467999,0,NO,0,Desconocido
Paseo Del Bajo,Paseo Del Bajo: Tramo C - Trinchera Semicubierta Norte,Finalizada,Transporte,Secretari­a de Transporte y Obras Publicas,"El tramo C se desarrollo desde el final del tramo B en cercani­as del parque central hasta el comienzo del viaducto norte en el area de retiro. El primer tramo, al igual que el tramo B, se llevo a cabo en trinchera semi cubierta con tramos peatonales y calles vehiculares pasantes. La segunda parte, a la altura de la Plaza Cañada en Retiro, se llevo a cabo a nivel.","$ 3.183.200.000,00",1,puerto madero,"HUERGO, ING. AV. Y GARAY, JUAN DE AV.",1/2/2017,25/4/2019,26,100,Iecsa - Fontana Nicastro Ute,2016,Licitacion Publica,2016-01-0009-00,30715471457,0,NO,0,Desconocido
Cuenca Radio Antiguo y Ugarteche,Ramal Austria I,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"La obra consistio en un conducto de cuatro metros de diametro realizado mediante la metodologi­a de tunel de excavacion manual con revestimiento metalico tipo linner, que en su primera etapa de ejecucion se complemento con ocho camaras de ataque de 4 metros de diametro ejecutadas con la misma tecnologi­a.","$ 75.368.613,00",2,recoleta,"DEL LIBERTADOR AV. Y FIGUEROA ALCORTA, PRES. AV.",26/5/2015,30/1/2018,32,100,Tecma S.A.,2015,Desconocida,Desconocido,30623866528,50,NO,0,Desconocido
Cuenca Arroyo Cildañez,Ramal Caaguazu -Ampliacion Red Pluvial VII,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"Los trabajos de la obra hidraulica del ramal Caaguazu consistieron en la ampliacion de la capacidad de los ramales para aliviar la red existente y evitar los anegamientos sobre Av. Rivadavia y calle Yerbal. Consto de dos conductos: El primero se inicio en la esquina de la calle Yerbal y recorre las calles Yerbal y Urdaneta hasta Av. Rivadavia. La segunda comenzo en la esquina de Caaguazu desde Oliden, pasando por calle Ramon L. Falcon.","$ 69.200.043,00",9,liniers,"OLIDEN Y FALCON, RAMON L.,CNEL.",28/7/2016,30/4/2018,21,100,SES S.A. - CONSTRUERE INGENIERIA S.A. - RED VII - UNION TRANSITORIA DE EMPRESAS,2016,Desconocida,Desconocido,30715243489,0,NO,0,Desconocido
Cuenca Larrazabal y Escalada,Ramal Escalada -Ampliacion Red Pluvial VI,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"Se realizo una obra de mejoramiento y readecuacion de la Red Pluvial VI, para el mejor escurrimiento de las precipitaciones en la comuna 8.","$ 52.685.356,00",8,villa riachuelo,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y SUAREZ, JOSE LEON",22/8/2016,10/12/2017,16,100,Altote S.A. - Naku Construcciones S.R.L. - (Ute),2015,Desconocida,Desconocido,30712263454,0,NO,0,Desconocido
Cuenca Arroyo Vega,Red Pluvial IV: Ampliacion,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"La obra consistio en la ejecucion de conductos circulares con respectivas camaras, sumideros, nexos y demas componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captacion pluvial, complementarios al plan director de ordenamiento hidraulico.","$ 24.536.126,00",12,coghlan,"QUESADA Y PEREZ, ROQUE",16/6/2014,31/10/2016,28,100,Altote S.A. - Naku Construcciones S.R.L. - (Ute),2013,Licitacion Publica,2529/2013,30712263454,17,NO,2769136/2013,Desconocido
Centro De Exposiciones Y Convenciones,Centro de Exposiciones y Convenciones,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,"El equipamiento metropolitano del Centro de Exposiciones y Convenciones se proyecto a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al Parque Thays y la Plaza de las Naciones Unidas, formando un gran parque publico. Se ubica en el predio de Av. Figueroa Alcorta al lado de la Facultad de Derecho constituyendo un enclave estrategico de la ciudad de Buenos Aires dada su localizacion y su potencialidad simbolica y espacial. El edificio tiene capacidad para 5.000 asistentes y esta conformado por una sala plenaria y otras salas auxiliares divisibles. Tambien cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehi­culos y un foyer de 1.600 miÂ². A su vez, tiene acceso a la estacion Facultad de Derecho de la li­nea H.","$ 313.660.000,00",2,recoleta,"COUTURE, EDUARDO J. Y VAZ FERREIRA, CARLOS, DR.",20/12/2014,30/4/2017,28,100,C.R.I.B.A. SA - MEJORES HOSPITALES SA - UNION TRANSITORIA DE EMPRESAS,2013,Licitacion Publica,2.594/2013,30714365440,170,SI,4.150.195/2013,Desconocido
Edificio Lezama,Edificio Lezama: Obra Civil,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,"La obra del Palacio Lezama se integro dentro del plan de descentralizacion administrativa del gobierno porteño al sur de la Ciudad. El edificio es patrimonio historico de la Ciudad y un hito de la memoria urbana del Barrio de Barracas que se encuentra ubicado sobre la Av. Marti­n Garci­a, entre la calle Irala y Av. Regimiento de los Patricios. Posee una superficie aproximada de 30.000 M2 distribuidos en planta baja y 6 pisos, con acceso de vehi­culos por calle Pilcomayo. Fue remodelado y restaurado i­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnologicos, funcionales y de seguridad de las dependencias que trabajaban alli­. El edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al Ministerio de Modernizacion, Ministerio de Desarrollo Urbano y Transporte, Ministerio de Ambiente y Espacio Publico y Sindicatura General.","$ 52.831.053,00",4,la boca,"GARCIA, MARTIN AV. 346",13/3/2015,30/12/2016,21,100,SES SA,2014,Licitacion Publica,1816/SIGAF/2014,30647727545,60,NO,0,Desconocido
Cuenca Arroyo Vega,Arroyo Vega - Mejora de la Eficiencia Hidraulica,Finalizada,Hidraulica E Infraestructura,Secretari­a de Transporte y Obras Publicas,"Se llevo adelante la obra que implico entabicar las columnas y las vigas para la mejora de la eficiencia hidraulica del conducto, asegurando el desplazamiento del fluido de la manera mas eficaz posible. La obra se ejecuto entre las calles 11 de Septiembre y Balbi­n, bajo la calle Blanco Encalada.","$ 20.356.959,00",13,belgrano,AV. RAFAEL OBLIGADO 6125,22/12/2014,30/9/2016,21,100,Tecma S.A.,2014,Licitacion Publica,1459/2014,30623866528,17,NO,5.428.222/2014,Desconocido
Conector Ambiental Iriarte,Conector Ambiental Iriarte,Finalizada,Espacio Publico,Secretari­a de Transporte y Obras Publicas,Tipologi­a de calle con importante presencia de vegetacion. Forma parte de una red que permite conectar el conjunto de espacios verdes de la Ciudad.,"$ 10.984.180,00",4,parque patricios,"VELEZ SARSFIELD AV. Y ALCORTA, AMANCIO AV.",3/2/2015,28/7/2017,29,100,Altote S.A,2014,Licitacion Publica,1526/2014,30707431896,12,NO,0,Desconocido
Parque Oli­mpico,Parque Oli­mpico: Cubierta Arena Parque Roca.,Finalizada,Arquitectura,Secretari­a de Transporte y Obras Publicas,"Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categori­a a areas historicamente relegadas, se construyo el techo corredizo para el Estadio Parque Roca. Dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situacion del clima. La capacidad aumento de 14.500 a 15.500 espectadores, ademas, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el Estadio Parque Roca fue una de las sedes donde se desarrollaron los Juegos Oli­mpicos de la Juventud 2018.","$ 103.608.164,00",8,villa soldati,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.,26/12/2013,15/9/2018,57,100,Teximco S.A. - Dal Constructora. S.A. Ute,2013,Licitacion Publica,1.723/2013,30714751979,30,NO,1.443.586/2013,Desconocido
